epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S2-CT,0.0,P3,post,S2,theta,3.2247774624018334e-09,8.625,Pz
0.0,S2-CT,0.0,P3,pre,S2,theta,7.918478984685634e-10,8.625,Pz
0.0,S2-CT,0.0,P3,slice,S2,theta,3.29101778005021e-09,8.625,Pz
0.0,S2-CT,1.0,P3,post,S2,theta,3.6339108794665034e-09,8.625,P3
0.0,S2-CT,1.0,P3,pre,S2,theta,4.168011434322909e-10,8.625,P3
0.0,S2-CT,1.0,P3,slice,S2,theta,2.1732554116863632e-09,8.625,P3
0.0,S2-CT,2.0,P3,post,S2,theta,1.3510635676658552e-09,8.625,O1
0.0,S2-CT,2.0,P3,pre,S2,theta,4.621006180508914e-10,8.625,O1
0.0,S2-CT,2.0,P3,slice,S2,theta,2.425149598583894e-09,8.625,O1
0.0,S2-CT,3.0,P3,post,S2,theta,1.0380787615510563e-09,8.625,Oz
0.0,S2-CT,3.0,P3,pre,S2,theta,5.940932089844323e-10,8.625,Oz
0.0,S2-CT,3.0,P3,slice,S2,theta,2.4824951485725073e-09,8.625,Oz
0.0,S2-CT,4.0,P3,post,S2,theta,1.356032413848517e-09,8.625,O2
0.0,S2-CT,4.0,P3,pre,S2,theta,1.0922641398817464e-09,8.625,O2
0.0,S2-CT,4.0,P3,slice,S2,theta,2.4420242882311674e-09,8.625,O2
0.0,S2-CT,5.0,P3,post,S2,theta,3.760024695166076e-09,8.625,P4
0.0,S2-CT,5.0,P3,pre,S2,theta,7.731263971968013e-10,8.625,P4
0.0,S2-CT,5.0,P3,slice,S2,theta,3.1582157701576464e-09,8.625,P4
0.0,S2-EC1,0.0,P3,post,S2,theta,1.393459348909003e-09,8.625,Pz
0.0,S2-EC1,0.0,P3,pre,S2,theta,2.4038147782515432e-09,8.625,Pz
0.0,S2-EC1,0.0,P3,slice,S2,theta,2.34830546452292e-09,8.625,Pz
0.0,S2-EC1,1.0,P3,post,S2,theta,1.4943013149502048e-09,8.625,P3
0.0,S2-EC1,1.0,P3,pre,S2,theta,1.0670287192733558e-09,8.625,P3
0.0,S2-EC1,1.0,P3,slice,S2,theta,1.674951701366578e-09,8.625,P3
0.0,S2-EC1,2.0,P3,post,S2,theta,2.291792336606402e-10,8.625,O1
0.0,S2-EC1,2.0,P3,pre,S2,theta,1.2304946396644992e-09,8.625,O1
0.0,S2-EC1,2.0,P3,slice,S2,theta,5.446783551694927e-10,8.625,O1
0.0,S2-EC1,3.0,P3,post,S2,theta,3.3452752514721335e-10,8.625,Oz
0.0,S2-EC1,3.0,P3,pre,S2,theta,9.299358930755882e-10,8.625,Oz
0.0,S2-EC1,3.0,P3,slice,S2,theta,7.174183742189884e-10,8.625,Oz
0.0,S2-EC1,4.0,P3,post,S2,theta,5.458720343056231e-10,8.625,O2
0.0,S2-EC1,4.0,P3,pre,S2,theta,1.1329436499451618e-09,8.625,O2
0.0,S2-EC1,4.0,P3,slice,S2,theta,9.237430126736998e-10,8.625,O2
0.0,S2-EC1,5.0,P3,post,S2,theta,1.5410278391970627e-09,8.625,P4
0.0,S2-EC1,5.0,P3,pre,S2,theta,1.2181134073883078e-09,8.625,P4
0.0,S2-EC1,5.0,P3,slice,S2,theta,2.0320893495885595e-09,8.625,P4
0.0,S2-EO1,0.0,P3,post,S2,theta,7.05787189649003e-09,8.625,Pz
0.0,S2-EO1,0.0,P3,pre,S2,theta,1.3930560642255176e-08,8.625,Pz
0.0,S2-EO1,0.0,P3,slice,S2,theta,3.10192579938826e-09,8.625,Pz
0.0,S2-EO1,1.0,P3,post,S2,theta,4.042832948216605e-09,8.625,P3
0.0,S2-EO1,1.0,P3,pre,S2,theta,5.263338279730509e-09,8.625,P3
0.0,S2-EO1,1.0,P3,slice,S2,theta,1.9057410065156235e-09,8.625,P3
0.0,S2-EO1,2.0,P3,post,S2,theta,1.8389497162146612e-09,8.625,O1
0.0,S2-EO1,2.0,P3,pre,S2,theta,1.450430643480936e-09,8.625,O1
0.0,S2-EO1,2.0,P3,slice,S2,theta,6.453671161552389e-10,8.625,O1
0.0,S2-EO1,3.0,P3,post,S2,theta,2.117868714664492e-09,8.625,Oz
0.0,S2-EO1,3.0,P3,pre,S2,theta,1.772825095534867e-09,8.625,Oz
0.0,S2-EO1,3.0,P3,slice,S2,theta,4.3461272105435665e-10,8.625,Oz
0.0,S2-EO1,4.0,P3,post,S2,theta,1.105504023970408e-09,8.625,O2
0.0,S2-EO1,4.0,P3,pre,S2,theta,1.6244818647422974e-09,8.625,O2
0.0,S2-EO1,4.0,P3,slice,S2,theta,2.7293288535182565e-10,8.625,O2
0.0,S2-EO1,5.0,P3,post,S2,theta,3.6612120199751436e-09,8.625,P4
0.0,S2-EO1,5.0,P3,pre,S2,theta,8.818132948911875e-09,8.625,P4
0.0,S2-EO1,5.0,P3,slice,S2,theta,1.9055687502692494e-09,8.625,P4
1.0,S2-CT,0.0,P3,post,S2,theta,5.425971780053919e-10,8.625,Pz
1.0,S2-CT,0.0,P3,pre,S2,theta,2.374666783915899e-09,8.625,Pz
1.0,S2-CT,0.0,P3,slice,S2,theta,1.6417301374292119e-09,8.625,Pz
1.0,S2-CT,1.0,P3,post,S2,theta,3.8964913495724253e-10,8.625,P3
1.0,S2-CT,1.0,P3,pre,S2,theta,2.404513878706285e-09,8.625,P3
1.0,S2-CT,1.0,P3,slice,S2,theta,1.2356848059446628e-09,8.625,P3
1.0,S2-CT,2.0,P3,post,S2,theta,2.497958091744886e-10,8.625,O1
1.0,S2-CT,2.0,P3,pre,S2,theta,1.2976723461465533e-09,8.625,O1
1.0,S2-CT,2.0,P3,slice,S2,theta,6.712249995590252e-10,8.625,O1
1.0,S2-CT,3.0,P3,post,S2,theta,4.749467159451106e-10,8.625,Oz
1.0,S2-CT,3.0,P3,pre,S2,theta,1.1116540424129164e-09,8.625,Oz
1.0,S2-CT,3.0,P3,slice,S2,theta,7.261065069719126e-10,8.625,Oz
1.0,S2-CT,4.0,P3,post,S2,theta,3.374490214046785e-10,8.625,O2
1.0,S2-CT,4.0,P3,pre,S2,theta,1.084505584985305e-09,8.625,O2
1.0,S2-CT,4.0,P3,slice,S2,theta,1.1136723921303963e-09,8.625,O2
1.0,S2-CT,5.0,P3,post,S2,theta,4.881256569842025e-10,8.625,P4
1.0,S2-CT,5.0,P3,pre,S2,theta,1.2226898319067583e-09,8.625,P4
1.0,S2-CT,5.0,P3,slice,S2,theta,1.215489375015519e-09,8.625,P4
1.0,S2-EC1,0.0,P3,post,S2,theta,1.21234897952258e-09,8.625,Pz
1.0,S2-EC1,0.0,P3,pre,S2,theta,1.1885793366377466e-08,8.625,Pz
