epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S5-CT,0.0,P7,post,S5,alpha,8.416171650932475e-10,10.5,Pz
0.0,S5-CT,0.0,P7,pre,S5,alpha,1.7872321578074388e-09,10.5,Pz
0.0,S5-CT,0.0,P7,slice,S5,alpha,6.605173879524263e-10,10.5,Pz
0.0,S5-CT,1.0,P7,post,S5,alpha,7.233801102657351e-10,10.5,P3
0.0,S5-CT,1.0,P7,pre,S5,alpha,9.430478755538414e-10,10.5,P3
0.0,S5-CT,1.0,P7,slice,S5,alpha,5.806604823786195e-10,10.5,P3
0.0,S5-CT,2.0,P7,post,S5,alpha,1.5117391512627253e-09,10.5,O1
0.0,S5-CT,2.0,P7,pre,S5,alpha,6.430044502547003e-10,10.5,O1
0.0,S5-CT,2.0,P7,slice,S5,alpha,6.861165475332979e-10,10.5,O1
0.0,S5-CT,3.0,P7,post,S5,alpha,1.023132573092448e-09,10.5,Oz
0.0,S5-CT,3.0,P7,pre,S5,alpha,6.53447933193751e-10,10.5,Oz
0.0,S5-CT,3.0,P7,slice,S5,alpha,6.181300209108252e-10,10.5,Oz
0.0,S5-CT,4.0,P7,post,S5,alpha,8.114862098137242e-10,10.5,O2
0.0,S5-CT,4.0,P7,pre,S5,alpha,7.318498983766498e-10,10.5,O2
0.0,S5-CT,4.0,P7,slice,S5,alpha,8.085766462699401e-10,10.5,O2
0.0,S5-CT,5.0,P7,post,S5,alpha,3.0144882443352197e-10,10.5,P4
0.0,S5-CT,5.0,P7,pre,S5,alpha,8.364650582959256e-10,10.5,P4
0.0,S5-CT,5.0,P7,slice,S5,alpha,7.271769188932968e-10,10.5,P4
0.0,S5-EC1,0.0,P7,post,S5,alpha,6.608814416014153e-10,10.5,Pz
0.0,S5-EC1,0.0,P7,pre,S5,alpha,1.7528100125044536e-09,10.5,Pz
0.0,S5-EC1,0.0,P7,slice,S5,alpha,1.3670730298005312e-09,10.5,Pz
0.0,S5-EC1,1.0,P7,post,S5,alpha,4.919019301867915e-10,10.5,P3
0.0,S5-EC1,1.0,P7,pre,S5,alpha,8.076670216970017e-10,10.5,P3
0.0,S5-EC1,1.0,P7,slice,S5,alpha,9.524669395380134e-10,10.5,P3
0.0,S5-EC1,2.0,P7,post,S5,alpha,5.993323039361725e-10,10.5,O1
0.0,S5-EC1,2.0,P7,pre,S5,alpha,2.398408284784645e-09,10.5,O1
0.0,S5-EC1,2.0,P7,slice,S5,alpha,1.5471155218987166e-09,10.5,O1
0.0,S5-EC1,3.0,P7,post,S5,alpha,4.4015898224674286e-10,10.5,Oz
0.0,S5-EC1,3.0,P7,pre,S5,alpha,1.135534564121988e-09,10.5,Oz
