epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S5-EC,0.0,P11,post,S5,alpha,3.039811396399641e-10,12.25,Pz
0.0,S5-EC,0.0,P11,pre,S5,alpha,7.77101079456678e-10,12.25,Pz
0.0,S5-EC,0.0,P11,slice,S5,alpha,2.7910615233797223e-10,12.25,Pz
0.0,S5-EC,1.0,P11,post,S5,alpha,3.2504105359554745e-10,12.25,P3
0.0,S5-EC,1.0,P11,pre,S5,alpha,4.753613869602552e-10,12.25,P3
0.0,S5-EC,1.0,P11,slice,S5,alpha,3.2576120615250554e-10,12.25,P3
0.0,S5-EC,2.0,P11,post,S5,alpha,5.190000247845352e-10,12.25,O1
0.0,S5-EC,2.0,P11,pre,S5,alpha,5.962965990557508e-10,12.25,O1
0.0,S5-EC,2.0,P11,slice,S5,alpha,3.2516250215898773e-10,12.25,O1
0.0,S5-EC,3.0,P11,post,S5,alpha,1.7024008050392426e-10,12.25,Oz
0.0,S5-EC,3.0,P11,pre,S5,alpha,4.574031583334446e-10,12.25,Oz
0.0,S5-EC,3.0,P11,slice,S5,alpha,2.03227505362339e-10,12.25,Oz
0.0,S5-EC,4.0,P11,post,S5,alpha,9.812099409990426e-11,12.25,O2
0.0,S5-EC,4.0,P11,pre,S5,alpha,7.483316087260117e-10,12.25,O2
0.0,S5-EC,4.0,P11,slice,S5,alpha,2.4997565146384107e-10,12.25,O2
0.0,S5-EC,5.0,P11,post,S5,alpha,2.7856488168756766e-10,12.25,P4
0.0,S5-EC,5.0,P11,pre,S5,alpha,1.0843066945654285e-09,12.25,P4
0.0,S5-EC,5.0,P11,slice,S5,alpha,2.3855116684089416e-10,12.25,P4
0.0,S5-EO,0.0,P11,post,S5,alpha,1.4520434755294181e-10,12.25,Pz
0.0,S5-EO,0.0,P11,pre,S5,alpha,3.4747578966927307e-10,12.25,Pz
0.0,S5-EO,0.0,P11,slice,S5,alpha,3.2140797183649723e-10,12.25,Pz
0.0,S5-EO,1.0,P11,post,S5,alpha,9.135982476881893e-11,12.25,P3
