epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S2-EC,0.0,P2,post,S2,theta,1.5320866049304733e-09,10.625,Pz
0.0,S2-EC,0.0,P2,pre,S2,theta,7.551216833215327e-09,10.625,Pz
0.0,S2-EC,0.0,P2,slice,S2,theta,3.303482619614402e-09,10.625,Pz
0.0,S2-EC,1.0,P2,post,S2,theta,1.2467149716754865e-09,10.625,P3
0.0,S2-EC,1.0,P2,pre,S2,theta,2.557962588643541e-09,10.625,P3
0.0,S2-EC,1.0,P2,slice,S2,theta,1.9157876350480786e-09,10.625,P3
0.0,S2-EC,2.0,P2,post,S2,theta,9.91952125987079e-10,10.625,O1
0.0,S2-EC,2.0,P2,pre,S2,theta,2.918295443274032e-09,10.625,O1
0.0,S2-EC,2.0,P2,slice,S2,theta,1.2816268279994734e-09,10.625,O1
0.0,S2-EC,3.0,P2,post,S2,theta,1.142355425467203e-09,10.625,Oz
0.0,S2-EC,3.0,P2,pre,S2,theta,3.4243458622157073e-09,10.625,Oz
0.0,S2-EC,3.0,P2,slice,S2,theta,1.1152522369397352e-09,10.625,Oz
0.0,S2-EC,4.0,P2,post,S2,theta,1.1425222962164817e-09,10.625,O2
0.0,S2-EC,4.0,P2,pre,S2,theta,3.7114218634667094e-09,10.625,O2
0.0,S2-EC,4.0,P2,slice,S2,theta,1.3145924802985814e-09,10.625,O2
0.0,S2-EC,5.0,P2,post,S2,theta,3.100167092090182e-09,10.625,P4
0.0,S2-EC,5.0,P2,pre,S2,theta,7.756416990158614e-09,10.625,P4
0.0,S2-EC,5.0,P2,slice,S2,theta,2.597750994023569e-09,10.625,P4
0.0,S2-EO,0.0,P2,post,S2,theta,7.643466397740683e-10,10.625,Pz
0.0,S2-EO,0.0,P2,pre,S2,theta,1.7820546076513583e-09,10.625,Pz
0.0,S2-EO,0.0,P2,slice,S2,theta,1.7284603334134705e-09,10.625,Pz
0.0,S2-EO,1.0,P2,post,S2,theta,7.01253683975313e-10,10.625,P3
0.0,S2-EO,1.0,P2,pre,S2,theta,1.5862170621591855e-09,10.625,P3
