epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S5-B4,0.0,P27,post,S5,alpha,4.650967653768216e-09,11.0,Pz
0.0,S5-B4,0.0,P27,pre,S5,alpha,4.758714039848215e-09,11.0,Pz
0.0,S5-B4,0.0,P27,slice,S5,alpha,4.6908025497728955e-09,11.0,Pz
0.0,S5-B4,1.0,P27,post,S5,alpha,3.745371149956108e-09,11.0,P3
0.0,S5-B4,1.0,P27,pre,S5,alpha,3.901342149321849e-09,11.0,P3
0.0,S5-B4,1.0,P27,slice,S5,alpha,3.772770127440388e-09,11.0,P3
0.0,S5-B4,2.0,P27,post,S5,alpha,3.378154978683617e-09,11.0,O1
0.0,S5-B4,2.0,P27,pre,S5,alpha,3.786828808950468e-09,11.0,O1
0.0,S5-B4,2.0,P27,slice,S5,alpha,3.3055881627283316e-09,11.0,O1
0.0,S5-B4,3.0,P27,post,S5,alpha,3.916316187702546e-09,11.0,Oz
0.0,S5-B4,3.0,P27,pre,S5,alpha,4.432008634210434e-09,11.0,Oz
0.0,S5-B4,3.0,P27,slice,S5,alpha,3.773564936336198e-09,11.0,Oz
0.0,S5-B4,4.0,P27,post,S5,alpha,4.879158538143442e-09,11.0,O2
0.0,S5-B4,4.0,P27,pre,S5,alpha,5.442864322895543e-09,11.0,O2
0.0,S5-B4,4.0,P27,slice,S5,alpha,4.691774015765205e-09,11.0,O2
0.0,S5-B4,5.0,P27,post,S5,alpha,6.18723823467478e-09,11.0,P4
0.0,S5-B4,5.0,P27,pre,S5,alpha,6.754393402656414e-09,11.0,P4
0.0,S5-B4,5.0,P27,slice,S5,alpha,6.027432579336084e-09,11.0,P4
1.0,S5-B4,0.0,P27,post,S5,alpha,4.521459998355197e-09,11.0,Pz
1.0,S5-B4,0.0,P27,pre,S5,alpha,4.46178123448521e-09,11.0,Pz
1.0,S5-B4,0.0,P27,slice,S5,alpha,4.7072058804284094e-09,11.0,Pz
1.0,S5-B4,1.0,P27,post,S5,alpha,3.5731795618508253e-09,11.0,P3
1.0,S5-B4,1.0,P27,pre,S5,alpha,3.6331715801292836e-09,11.0,P3
1.0,S5-B4,1.0,P27,slice,S5,alpha,3.786899451375344e-09,11.0,P3
1.0,S5-B4,2.0,P27,post,S5,alpha,3.1006397654651003e-09,11.0,O1
1.0,S5-B4,2.0,P27,pre,S5,alpha,3.27538112899793e-09,11.0,O1
1.0,S5-B4,2.0,P27,slice,S5,alpha,3.317474784724607e-09,11.0,O1
1.0,S5-B4,3.0,P27,post,S5,alpha,3.588619004389843e-09,11.0,Oz
1.0,S5-B4,3.0,P27,pre,S5,alpha,3.7192145185769424e-09,11.0,Oz
1.0,S5-B4,3.0,P27,slice,S5,alpha,3.787027541658049e-09,11.0,Oz
1.0,S5-B4,4.0,P27,post,S5,alpha,4.533382422221433e-09,11.0,O2
1.0,S5-B4,4.0,P27,pre,S5,alpha,4.555961257710605e-09,11.0,O2
1.0,S5-B4,4.0,P27,slice,S5,alpha,4.707850336797818e-09,11.0,O2
1.0,S5-B4,5.0,P27,post,S5,alpha,5.901707746883331e-09,11.0,P4
1.0,S5-B4,5.0,P27,pre,S5,alpha,5.7742081757710216e-09,11.0,P4
1.0,S5-B4,5.0,P27,slice,S5,alpha,6.046048601412917e-09,11.0,P4
2.0,S5-B4,0.0,P27,post,S5,alpha,4.104073936102592e-09,11.0,Pz
2.0,S5-B4,0.0,P27,pre,S5,alpha,4.38405426233565e-09,11.0,Pz
2.0,S5-B4,0.0,P27,slice,S5,alpha,4.7366566653371365e-09,11.0,Pz
2.0,S5-B4,1.0,P27,post,S5,alpha,3.376969989791477e-09,11.0,P3
2.0,S5-B4,1.0,P27,pre,S5,alpha,3.5472956231244066e-09,11.0,P3
2.0,S5-B4,1.0,P27,slice,S5,alpha,3.809982957150033e-09,11.0,P3
2.0,S5-B4,2.0,P27,post,S5,alpha,3.3208146690052112e-09,11.0,O1
2.0,S5-B4,2.0,P27,pre,S5,alpha,3.2096763881532166e-09,11.0,O1
2.0,S5-B4,2.0,P27,slice,S5,alpha,3.3374195610516583e-09,11.0,O1
2.0,S5-B4,3.0,P27,post,S5,alpha,3.887924756432023e-09,11.0,Oz
2.0,S5-B4,3.0,P27,pre,S5,alpha,3.6835991572571253e-09,11.0,Oz
2.0,S5-B4,3.0,P27,slice,S5,alpha,3.809550240350868e-09,11.0,Oz
2.0,S5-B4,4.0,P27,post,S5,alpha,4.784694560809081e-09,11.0,O2
2.0,S5-B4,4.0,P27,pre,S5,alpha,4.570472951941862e-09,11.0,O2
2.0,S5-B4,4.0,P27,slice,S5,alpha,4.736548817607954e-09,11.0,O2
2.0,S5-B4,5.0,P27,post,S5,alpha,5.974237535826163e-09,11.0,P4
2.0,S5-B4,5.0,P27,pre,S5,alpha,5.850354742796974e-09,11.0,P4
2.0,S5-B4,5.0,P27,slice,S5,alpha,6.0843832111943045e-09,11.0,P4
3.0,S5-B4,0.0,P27,post,S5,alpha,5.045548931038029e-09,11.0,Pz
3.0,S5-B4,0.0,P27,pre,S5,alpha,4.952172422430314e-09,11.0,Pz
3.0,S5-B4,0.0,P27,slice,S5,alpha,4.608932882703917e-09,11.0,Pz
3.0,S5-B4,1.0,P27,post,S5,alpha,4.25699483145145e-09,11.0,P3
3.0,S5-B4,1.0,P27,pre,S5,alpha,4.227579255072766e-09,11.0,P3
3.0,S5-B4,1.0,P27,slice,S5,alpha,3.7074017950902376e-09,11.0,P3
3.0,S5-B4,2.0,P27,post,S5,alpha,3.954361937892019e-09,11.0,O1
3.0,S5-B4,2.0,P27,pre,S5,alpha,3.906808595591914e-09,11.0,O1
3.0,S5-B4,2.0,P27,slice,S5,alpha,3.2475774210025757e-09,11.0,O1
3.0,S5-B4,3.0,P27,post,S5,alpha,4.392068452391914e-09,11.0,Oz
3.0,S5-B4,3.0,P27,pre,S5,alpha,4.289182207132873e-09,11.0,Oz
3.0,S5-B4,3.0,P27,slice,S5,alpha,3.7065327358742293e-09,11.0,Oz
3.0,S5-B4,4.0,P27,post,S5,alpha,5.2000035429361635e-09,11.0,O2
3.0,S5-B4,4.0,P27,pre,S5,alpha,5.043853089992613e-09,11.0,O2
3.0,S5-B4,4.0,P27,slice,S5,alpha,4.607658543644253e-09,11.0,O2
3.0,S5-B4,5.0,P27,post,S5,alpha,6.383364802175881e-09,11.0,P4
3.0,S5-B4,5.0,P27,pre,S5,alpha,6.177099347217734e-09,11.0,P4
3.0,S5-B4,5.0,P27,slice,S5,alpha,5.918598237823657e-09,11.0,P4
4.0,S5-B4,0.0,P27,post,S5,alpha,4.627541580702771e-09,11.0,Pz
4.0,S5-B4,0.0,P27,pre,S5,alpha,5.127146134540311e-09,11.0,Pz
4.0,S5-B4,0.0,P27,slice,S5,alpha,4.773372573277874e-09,11.0,Pz
4.0,S5-B4,1.0,P27,post,S5,alpha,3.7203424397453765e-09,11.0,P3
4.0,S5-B4,1.0,P27,pre,S5,alpha,4.209531402616233e-09,11.0,P3
4.0,S5-B4,1.0,P27,slice,S5,alpha,3.839386985370413e-09,11.0,P3
4.0,S5-B4,2.0,P27,post,S5,alpha,3.2258154570196554e-09,11.0,O1
4.0,S5-B4,2.0,P27,pre,S5,alpha,3.516387082170603e-09,11.0,O1
4.0,S5-B4,2.0,P27,slice,S5,alpha,3.3632313941501905e-09,11.0,O1
4.0,S5-B4,3.0,P27,post,S5,alpha,3.6549003244802414e-09,11.0,Oz
4.0,S5-B4,3.0,P27,pre,S5,alpha,3.8115906633494955e-09,11.0,Oz
4.0,S5-B4,3.0,P27,slice,S5,alpha,3.837861823174429e-09,11.0,Oz
4.0,S5-B4,4.0,P27,post,S5,alpha,4.5314601874496556e-09,11.0,O2
4.0,S5-B4,4.0,P27,pre,S5,alpha,4.588853797347385e-09,11.0,O2
4.0,S5-B4,4.0,P27,slice,S5,alpha,4.771280362682199e-09,11.0,O2
4.0,S5-B4,5.0,P27,post,S5,alpha,5.844418982232648e-09,11.0,P4
4.0,S5-B4,5.0,P27,pre,S5,alpha,5.871528640799039e-09,11.0,P4
4.0,S5-B4,5.0,P27,slice,S5,alpha,6.130378854657377e-09,11.0,P4
5.0,S5-B4,0.0,P27,post,S5,alpha,4.955448745873063e-09,11.0,Pz
5.0,S5-B4,0.0,P27,pre,S5,alpha,4.41434592009153e-09,11.0,Pz
5.0,S5-B4,0.0,P27,slice,S5,alpha,4.860223881661337e-09,11.0,Pz
5.0,S5-B4,1.0,P27,post,S5,alpha,4.082652594030461e-09,11.0,P3
5.0,S5-B4,1.0,P27,pre,S5,alpha,3.5105126871218237e-09,11.0,P3
5.0,S5-B4,1.0,P27,slice,S5,alpha,3.9097539978254606e-09,11.0,P3
5.0,S5-B4,2.0,P27,post,S5,alpha,3.6676249163868426e-09,11.0,O1
5.0,S5-B4,2.0,P27,pre,S5,alpha,3.0358451167111462e-09,11.0,O1
5.0,S5-B4,2.0,P27,slice,S5,alpha,3.4257973898142165e-09,11.0,O1
5.0,S5-B4,3.0,P27,post,S5,alpha,4.126379391433644e-09,11.0,Oz
5.0,S5-B4,3.0,P27,pre,S5,alpha,3.4885843032816047e-09,11.0,Oz
5.0,S5-B4,3.0,P27,slice,S5,alpha,3.909398371148537e-09,11.0,Oz
5.0,S5-B4,4.0,P27,post,S5,alpha,5.030468201348302e-09,11.0,O2
5.0,S5-B4,4.0,P27,pre,S5,alpha,4.3961153728674805e-09,11.0,O2
5.0,S5-B4,4.0,P27,slice,S5,alpha,4.859285953638334e-09,11.0,O2
5.0,S5-B4,5.0,P27,post,S5,alpha,6.373287026486701e-09,11.0,P4
5.0,S5-B4,5.0,P27,pre,S5,alpha,5.73094816314365e-09,11.0,P4
5.0,S5-B4,5.0,P27,slice,S5,alpha,6.2420148024004404e-09,11.0,P4
6.0,S5-B4,0.0,P27,post,S5,alpha,5.554922823972655e-09,11.0,Pz
6.0,S5-B4,0.0,P27,pre,S5,alpha,5.415269903664368e-09,11.0,Pz
6.0,S5-B4,0.0,P27,slice,S5,alpha,4.971432772408963e-09,11.0,Pz
6.0,S5-B4,1.0,P27,post,S5,alpha,4.613525188776846e-09,11.0,P3
6.0,S5-B4,1.0,P27,pre,S5,alpha,4.419991349893325e-09,11.0,P3
6.0,S5-B4,1.0,P27,slice,S5,alpha,3.9988153559618735e-09,11.0,P3
6.0,S5-B4,2.0,P27,post,S5,alpha,3.8512802861566966e-09,11.0,O1
6.0,S5-B4,2.0,P27,pre,S5,alpha,3.733240784437604e-09,11.0,O1
6.0,S5-B4,2.0,P27,slice,S5,alpha,3.501932150208481e-09,11.0,O1
6.0,S5-B4,3.0,P27,post,S5,alpha,4.136155049284823e-09,11.0,Oz
6.0,S5-B4,3.0,P27,pre,S5,alpha,4.137903835910042e-09,11.0,Oz
6.0,S5-B4,3.0,P27,slice,S5,alpha,3.996731232203998e-09,11.0,Oz
6.0,S5-B4,4.0,P27,post,S5,alpha,4.932765470278055e-09,11.0,O2
6.0,S5-B4,4.0,P27,pre,S5,alpha,5.058084887553747e-09,11.0,O2
6.0,S5-B4,4.0,P27,slice,S5,alpha,4.9683902500689866e-09,11.0,O2
6.0,S5-B4,5.0,P27,post,S5,alpha,6.24439411758619e-09,11.0,P4
6.0,S5-B4,5.0,P27,pre,S5,alpha,6.451350175313953e-09,11.0,P4
6.0,S5-B4,5.0,P27,slice,S5,alpha,6.382403900686278e-09,11.0,P4
7.0,S5-B4,0.0,P27,post,S5,alpha,4.823338099361418e-09,11.0,Pz
7.0,S5-B4,0.0,P27,pre,S5,alpha,5.633581109072276e-09,11.0,Pz
7.0,S5-B4,0.0,P27,slice,S5,alpha,5.016139979885114e-09,11.0,Pz
7.0,S5-B4,1.0,P27,post,S5,alpha,3.87467550007741e-09,11.0,P3
7.0,S5-B4,1.0,P27,pre,S5,alpha,4.438709640395719e-09,11.0,P3
7.0,S5-B4,1.0,P27,slice,S5,alpha,4.035915024412647e-09,11.0,P3
7.0,S5-B4,2.0,P27,post,S5,alpha,3.2371428084381405e-09,11.0,O1
7.0,S5-B4,2.0,P27,pre,S5,alpha,3.5390984660007413e-09,11.0,O1
