epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S2-TO,0.0,P38,post,S2,theta,9.588047225070433e-11,9.75,Pz
0.0,S2-TO,0.0,P38,pre,S2,theta,4.2943837216653564e-10,9.75,Pz
0.0,S2-TO,0.0,P38,slice,S2,theta,3.2312588340952595e-11,9.75,Pz
0.0,S2-TO,1.0,P38,post,S2,theta,6.674784022502748e-11,9.75,P3
0.0,S2-TO,1.0,P38,pre,S2,theta,3.0000352465210664e-10,9.75,P3
0.0,S2-TO,1.0,P38,slice,S2,theta,2.5555602533323292e-11,9.75,P3
0.0,S2-TO,2.0,P38,post,S2,theta,2.6241838821468694e-11,9.75,O1
0.0,S2-TO,2.0,P38,pre,S2,theta,8.667667802644013e-11,9.75,O1
0.0,S2-TO,2.0,P38,slice,S2,theta,2.0865730465195593e-11,9.75,O1
0.0,S2-TO,3.0,P38,post,S2,theta,2.7699328661662233e-11,9.75,Oz
0.0,S2-TO,3.0,P38,pre,S2,theta,7.07344457711293e-11,9.75,Oz
0.0,S2-TO,3.0,P38,slice,S2,theta,2.3656104235531232e-11,9.75,Oz
0.0,S2-TO,4.0,P38,post,S2,theta,5.041737013814466e-11,9.75,O2
0.0,S2-TO,4.0,P38,pre,S2,theta,1.3271565913903028e-10,9.75,O2
0.0,S2-TO,4.0,P38,slice,S2,theta,2.994741524146305e-11,9.75,O2
0.0,S2-TO,5.0,P38,post,S2,theta,9.176971910077591e-11,9.75,P4
0.0,S2-TO,5.0,P38,pre,S2,theta,2.543252601941545e-10,9.75,P4
0.0,S2-TO,5.0,P38,slice,S2,theta,3.938377362922248e-11,9.75,P4
1.0,S2-TO,0.0,P38,post,S2,theta,7.815076157503912e-11,9.75,Pz
1.0,S2-TO,0.0,P38,pre,S2,theta,1.5166223471965756e-10,9.75,Pz
1.0,S2-TO,0.0,P38,slice,S2,theta,3.00310206348899e-11,9.75,Pz
1.0,S2-TO,1.0,P38,post,S2,theta,4.1725697695585074e-11,9.75,P3
1.0,S2-TO,1.0,P38,pre,S2,theta,1.0384148235102776e-10,9.75,P3
1.0,S2-TO,1.0,P38,slice,S2,theta,2.4223128884378437e-11,9.75,P3
1.0,S2-TO,2.0,P38,post,S2,theta,6.078562117797599e-11,9.75,O1
1.0,S2-TO,2.0,P38,pre,S2,theta,3.6410817433476846e-11,9.75,O1
1.0,S2-TO,2.0,P38,slice,S2,theta,2.1275856741503706e-11,9.75,O1
1.0,S2-TO,3.0,P38,post,S2,theta,1.029431981904027e-10,9.75,Oz
1.0,S2-TO,3.0,P38,pre,S2,theta,4.120231531978314e-11,9.75,Oz
1.0,S2-TO,3.0,P38,slice,S2,theta,2.422461712787801e-11,9.75,Oz
1.0,S2-TO,4.0,P38,post,S2,theta,1.496549756681134e-10,9.75,O2
1.0,S2-TO,4.0,P38,pre,S2,theta,7.873762868653554e-11,9.75,O2
1.0,S2-TO,4.0,P38,slice,S2,theta,3.004744366881015e-11,9.75,O2
1.0,S2-TO,5.0,P38,post,S2,theta,1.9216291672889955e-10,9.75,P4
1.0,S2-TO,5.0,P38,pre,S2,theta,1.4079550768450637e-10,9.75,P4
1.0,S2-TO,5.0,P38,slice,S2,theta,3.856249314250525e-11,9.75,P4
2.0,S2-TO,0.0,P38,post,S2,theta,1.1783678204815222e-10,9.75,Pz
2.0,S2-TO,0.0,P38,pre,S2,theta,4.848737258517988e-11,9.75,Pz
2.0,S2-TO,0.0,P38,slice,S2,theta,3.050145222287145e-11,9.75,Pz
2.0,S2-TO,1.0,P38,post,S2,theta,6.469428937112977e-11,9.75,P3
2.0,S2-TO,1.0,P38,pre,S2,theta,2.679060043605745e-11,9.75,P3
2.0,S2-TO,1.0,P38,slice,S2,theta,2.41925747039557e-11,9.75,P3
2.0,S2-TO,2.0,P38,post,S2,theta,1.5863290005152975e-10,9.75,O1
2.0,S2-TO,2.0,P38,pre,S2,theta,4.076789286062923e-11,9.75,O1
2.0,S2-TO,2.0,P38,slice,S2,theta,2.2032039409380252e-11,9.75,O1
2.0,S2-TO,3.0,P38,post,S2,theta,2.713272213164739e-10,9.75,Oz
2.0,S2-TO,3.0,P38,pre,S2,theta,6.494888723324048e-11,9.75,Oz
2.0,S2-TO,3.0,P38,slice,S2,theta,2.596734063788431e-11,9.75,Oz
2.0,S2-TO,4.0,P38,post,S2,theta,3.8483545782475847e-10,9.75,O2
2.0,S2-TO,4.0,P38,pre,S2,theta,9.250906412841391e-11,9.75,O2
2.0,S2-TO,4.0,P38,slice,S2,theta,3.2738492523879865e-11,9.75,O2
2.0,S2-TO,5.0,P38,post,S2,theta,4.665777828697916e-10,9.75,P4
2.0,S2-TO,5.0,P38,pre,S2,theta,1.208029375004896e-10,9.75,P4
2.0,S2-TO,5.0,P38,slice,S2,theta,4.188500588139254e-11,9.75,P4
3.0,S2-TO,0.0,P38,post,S2,theta,5.173017272066119e-11,9.75,Pz
3.0,S2-TO,0.0,P38,pre,S2,theta,1.0189608128864195e-10,9.75,Pz
3.0,S2-TO,0.0,P38,slice,S2,theta,3.004131518395468e-11,9.75,Pz
3.0,S2-TO,1.0,P38,post,S2,theta,4.540386700837652e-11,9.75,P3
3.0,S2-TO,1.0,P38,pre,S2,theta,5.844507723168933e-11,9.75,P3
3.0,S2-TO,1.0,P38,slice,S2,theta,2.4048030470358423e-11,9.75,P3
3.0,S2-TO,2.0,P38,post,S2,theta,9.037451146138487e-11,9.75,O1
3.0,S2-TO,2.0,P38,pre,S2,theta,1.6967865860522266e-10,9.75,O1
3.0,S2-TO,2.0,P38,slice,S2,theta,2.2556730818860908e-11,9.75,O1
3.0,S2-TO,3.0,P38,post,S2,theta,1.2707953198516106e-10,9.75,Oz
3.0,S2-TO,3.0,P38,pre,S2,theta,2.8370998608375274e-10,9.75,Oz
3.0,S2-TO,3.0,P38,slice,S2,theta,2.665949274653317e-11,9.75,Oz
3.0,S2-TO,4.0,P38,post,S2,theta,1.5667346975665392e-10,9.75,O2
3.0,S2-TO,4.0,P38,pre,S2,theta,3.898870842751631e-10,9.75,O2
3.0,S2-TO,4.0,P38,slice,S2,theta,3.3390606597577274e-11,9.75,O2
3.0,S2-TO,5.0,P38,post,S2,theta,1.686668430790184e-10,9.75,P4
3.0,S2-TO,5.0,P38,pre,S2,theta,4.639046454592439e-10,9.75,P4
3.0,S2-TO,5.0,P38,slice,S2,theta,4.2229912775767596e-11,9.75,P4
4.0,S2-TO,0.0,P38,post,S2,theta,3.9934631084583854e-11,9.75,Pz
4.0,S2-TO,0.0,P38,pre,S2,theta,6.836944626659311e-11,9.75,Pz
4.0,S2-TO,0.0,P38,slice,S2,theta,2.9617275685225286e-11,9.75,Pz
4.0,S2-TO,1.0,P38,post,S2,theta,4.1019107078957665e-11,9.75,P3
4.0,S2-TO,1.0,P38,pre,S2,theta,6.730233589615544e-11,9.75,P3
4.0,S2-TO,1.0,P38,slice,S2,theta,2.3824407173764693e-11,9.75,P3
4.0,S2-TO,2.0,P38,post,S2,theta,7.423456209296314e-11,9.75,O1
4.0,S2-TO,2.0,P38,pre,S2,theta,1.504373563094907e-10,9.75,O1
4.0,S2-TO,2.0,P38,slice,S2,theta,2.0939278602115952e-11,9.75,O1
4.0,S2-TO,3.0,P38,post,S2,theta,9.30987260744575e-11,9.75,Oz
4.0,S2-TO,3.0,P38,pre,S2,theta,2.072235064447064e-10,9.75,Oz
4.0,S2-TO,3.0,P38,slice,S2,theta,2.392877206455479e-11,9.75,Oz
4.0,S2-TO,4.0,P38,post,S2,theta,1.1097182638873994e-10,9.75,O2
4.0,S2-TO,4.0,P38,pre,S2,theta,2.468578731563255e-10,9.75,O2
4.0,S2-TO,4.0,P38,slice,S2,theta,2.9773843824221903e-11,9.75,O2
4.0,S2-TO,5.0,P38,post,S2,theta,1.320252281508737e-10,9.75,P4
4.0,S2-TO,5.0,P38,pre,S2,theta,2.550323319625209e-10,9.75,P4
4.0,S2-TO,5.0,P38,slice,S2,theta,3.8161830672948164e-11,9.75,P4
5.0,S2-TO,0.0,P38,post,S2,theta,1.5444927352587946e-10,9.75,Pz
