epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S2-TO,0.0,P6,post,S2,alpha,2.6923772990786715e-09,9.875,Pz
0.0,S2-TO,0.0,P6,pre,S2,alpha,2.816305867990181e-09,9.875,Pz
0.0,S2-TO,0.0,P6,slice,S2,alpha,2.8590214191411186e-09,9.875,Pz
0.0,S2-TO,1.0,P6,post,S2,alpha,2.2635379429681632e-09,9.875,P3
0.0,S2-TO,1.0,P6,pre,S2,alpha,2.2640558342263528e-09,9.875,P3
0.0,S2-TO,1.0,P6,slice,S2,alpha,2.2993261207721465e-09,9.875,P3
0.0,S2-TO,2.0,P6,post,S2,alpha,2.2615603890905894e-09,9.875,O1
0.0,S2-TO,2.0,P6,pre,S2,alpha,2.068489393156424e-09,9.875,O1
0.0,S2-TO,2.0,P6,slice,S2,alpha,2.0146364600821563e-09,9.875,O1
0.0,S2-TO,3.0,P6,post,S2,alpha,2.6068945474338873e-09,9.875,Oz
0.0,S2-TO,3.0,P6,pre,S2,alpha,2.397939168580757e-09,9.875,Oz
0.0,S2-TO,3.0,P6,slice,S2,alpha,2.3003072940958423e-09,9.875,Oz
0.0,S2-TO,4.0,P6,post,S2,alpha,3.141600104865781e-09,9.875,O2
0.0,S2-TO,4.0,P6,pre,S2,alpha,2.989752784897719e-09,9.875,O2
0.0,S2-TO,4.0,P6,slice,S2,alpha,2.8605609368719643e-09,9.875,O2
0.0,S2-TO,5.0,P6,post,S2,alpha,3.85793932493758e-09,9.875,P4
0.0,S2-TO,5.0,P6,pre,S2,alpha,3.826327491836519e-09,9.875,P4
0.0,S2-TO,5.0,P6,slice,S2,alpha,3.6750793864919734e-09,9.875,P4
1.0,S2-TO,0.0,P6,post,S2,alpha,3.4163543512423014e-09,9.875,Pz
1.0,S2-TO,0.0,P6,pre,S2,alpha,3.1550427490262508e-09,9.875,Pz
1.0,S2-TO,0.0,P6,slice,S2,alpha,3.063940701763001e-09,9.875,Pz
1.0,S2-TO,1.0,P6,post,S2,alpha,2.928049179082055e-09,9.875,P3
1.0,S2-TO,1.0,P6,pre,S2,alpha,2.7204103165577283e-09,9.875,P3
1.0,S2-TO,1.0,P6,slice,S2,alpha,2.4639192152518035e-09,9.875,P3
1.0,S2-TO,2.0,P6,post,S2,alpha,2.694180489897934e-09,9.875,O1
1.0,S2-TO,2.0,P6,pre,S2,alpha,2.570556403733114e-09,9.875,O1
1.0,S2-TO,2.0,P6,slice,S2,alpha,2.1595134697550074e-09,9.875,O1
1.0,S2-TO,3.0,P6,post,S2,alpha,2.9312212372962827e-09,9.875,Oz
1.0,S2-TO,3.0,P6,pre,S2,alpha,2.8372653918736853e-09,9.875,Oz
