epoch,cond,channel,pid,win,session,band,power,iaf,ch_name
0.0,S5-B6,0.0,P9,post,S5,theta,7.586080276837728e-11,10.75,Pz
0.0,S5-B6,0.0,P9,pre,S5,theta,3.441315149083063e-10,10.75,Pz
0.0,S5-B6,0.0,P9,slice,S5,theta,4.690738981552861e-11,10.75,Pz
0.0,S5-B6,1.0,P9,post,S5,theta,6.134653283318806e-11,10.75,P3
0.0,S5-B6,1.0,P9,pre,S5,theta,3.6627089639011473e-10,10.75,P3
0.0,S5-B6,1.0,P9,slice,S5,theta,3.824336914395739e-11,10.75,P3
0.0,S5-B6,2.0,P9,post,S5,theta,3.824449116223096e-11,10.75,O1
0.0,S5-B6,2.0,P9,pre,S5,theta,2.984440404563499e-10,10.75,O1
0.0,S5-B6,2.0,P9,slice,S5,theta,3.30149179247299e-11,10.75,O1
0.0,S5-B6,3.0,P9,post,S5,theta,3.778125735825874e-11,10.75,Oz
0.0,S5-B6,3.0,P9,pre,S5,theta,2.2356916080224222e-10,10.75,Oz
0.0,S5-B6,3.0,P9,slice,S5,theta,3.720387010746309e-11,10.75,Oz
0.0,S5-B6,4.0,P9,post,S5,theta,5.003733455759499e-11,10.75,O2
0.0,S5-B6,4.0,P9,pre,S5,theta,1.5745671889503046e-10,10.75,O2
0.0,S5-B6,4.0,P9,slice,S5,theta,4.57076782272049e-11,10.75,O2
0.0,S5-B6,5.0,P9,post,S5,theta,7.694242094681627e-11,10.75,P4
0.0,S5-B6,5.0,P9,pre,S5,theta,1.276914992615367e-10,10.75,P4
0.0,S5-B6,5.0,P9,slice,S5,theta,5.867894093923768e-11,10.75,P4
1.0,S5-B6,0.0,P9,post,S5,theta,2.3056762420078466e-10,10.75,Pz
1.0,S5-B6,0.0,P9,pre,S5,theta,1.1566554285926481e-10,10.75,Pz
1.0,S5-B6,0.0,P9,slice,S5,theta,4.58970010195878e-11,10.75,Pz
1.0,S5-B6,1.0,P9,post,S5,theta,1.9439051986040586e-10,10.75,P3
1.0,S5-B6,1.0,P9,pre,S5,theta,9.464217716403892e-11,10.75,P3
1.0,S5-B6,1.0,P9,slice,S5,theta,3.712753732816393e-11,10.75,P3
1.0,S5-B6,2.0,P9,post,S5,theta,1.0320271508804022e-10,10.75,O1
1.0,S5-B6,2.0,P9,pre,S5,theta,6.111026144964618e-11,10.75,O1
1.0,S5-B6,2.0,P9,slice,S5,theta,3.225868383666516e-11,10.75,O1
1.0,S5-B6,3.0,P9,post,S5,theta,8.018912329545338e-11,10.75,Oz
1.0,S5-B6,3.0,P9,pre,S5,theta,5.149598716862482e-11,10.75,Oz
1.0,S5-B6,3.0,P9,slice,S5,theta,3.6803713627240334e-11,10.75,Oz
1.0,S5-B6,4.0,P9,post,S5,theta,8.720699348234409e-11,10.75,O2
1.0,S5-B6,4.0,P9,pre,S5,theta,5.350615584470078e-11,10.75,O2
1.0,S5-B6,4.0,P9,slice,S5,theta,4.5704491168658736e-11,10.75,O2
1.0,S5-B6,5.0,P9,post,S5,theta,1.2054023038692166e-10,10.75,P4
1.0,S5-B6,5.0,P9,pre,S5,theta,8.011767140711777e-11,10.75,P4
1.0,S5-B6,5.0,P9,slice,S5,theta,5.874407331980366e-11,10.75,P4
2.0,S5-B6,0.0,P9,post,S5,theta,3.662379608550874e-10,10.75,Pz
2.0,S5-B6,0.0,P9,pre,S5,theta,1.5710459001849318e-10,10.75,Pz
2.0,S5-B6,0.0,P9,slice,S5,theta,4.791208034208406e-11,10.75,Pz
2.0,S5-B6,1.0,P9,post,S5,theta,2.6779733177188083e-10,10.75,P3
2.0,S5-B6,1.0,P9,pre,S5,theta,1.2877928211409926e-10,10.75,P3
2.0,S5-B6,1.0,P9,slice,S5,theta,3.8468992005014715e-11,10.75,P3
2.0,S5-B6,2.0,P9,post,S5,theta,9.465230306448025e-11,10.75,O1
2.0,S5-B6,2.0,P9,pre,S5,theta,6.730913011258742e-11,10.75,O1
2.0,S5-B6,2.0,P9,slice,S5,theta,3.2525343998697995e-11,10.75,O1
2.0,S5-B6,3.0,P9,post,S5,theta,7.346030847552697e-11,10.75,Oz
2.0,S5-B6,3.0,P9,pre,S5,theta,5.841158180346861e-11,10.75,Oz
2.0,S5-B6,3.0,P9,slice,S5,theta,3.6740699831526235e-11,10.75,Oz
2.0,S5-B6,4.0,P9,post,S5,theta,1.1264188406776363e-10,10.75,O2
2.0,S5-B6,4.0,P9,pre,S5,theta,6.712123228640622e-11,10.75,O2
2.0,S5-B6,4.0,P9,slice,S5,theta,4.577250420744111e-11,10.75,O2
2.0,S5-B6,5.0,P9,post,S5,theta,2.0780668805199813e-10,10.75,P4
2.0,S5-B6,5.0,P9,pre,S5,theta,9.15147542916608e-11,10.75,P4
2.0,S5-B6,5.0,P9,slice,S5,theta,5.924718867110318e-11,10.75,P4
3.0,S5-B6,0.0,P9,post,S5,theta,1.021488340893299e-10,10.75,Pz
3.0,S5-B6,0.0,P9,pre,S5,theta,3.717452486362397e-10,10.75,Pz
3.0,S5-B6,0.0,P9,slice,S5,theta,4.697817440517415e-11,10.75,Pz
3.0,S5-B6,1.0,P9,post,S5,theta,7.305300267903113e-11,10.75,P3
3.0,S5-B6,1.0,P9,pre,S5,theta,2.6902440418092736e-10,10.75,P3
3.0,S5-B6,1.0,P9,slice,S5,theta,3.75641066131786e-11,10.75,P3
3.0,S5-B6,2.0,P9,post,S5,theta,3.5499461097209884e-11,10.75,O1
3.0,S5-B6,2.0,P9,pre,S5,theta,9.593887924606421e-11,10.75,O1
3.0,S5-B6,2.0,P9,slice,S5,theta,3.202952437024348e-11,10.75,O1
3.0,S5-B6,3.0,P9,post,S5,theta,3.957230116371076e-11,10.75,Oz
3.0,S5-B6,3.0,P9,pre,S5,theta,8.118073503006123e-11,10.75,Oz
3.0,S5-B6,3.0,P9,slice,S5,theta,3.6414928579278455e-11,10.75,Oz
3.0,S5-B6,4.0,P9,post,S5,theta,6.394745387573478e-11,10.75,O2
3.0,S5-B6,4.0,P9,pre,S5,theta,1.3049105652096716e-10,10.75,O2
3.0,S5-B6,4.0,P9,slice,S5,theta,4.5526858988446626e-11,10.75,O2
3.0,S5-B6,5.0,P9,post,S5,theta,1.0606160911187408e-10,10.75,P4
3.0,S5-B6,5.0,P9,pre,S5,theta,2.3105202241368472e-10,10.75,P4
3.0,S5-B6,5.0,P9,slice,S5,theta,5.900653843982976e-11,10.75,P4
4.0,S5-B6,0.0,P9,post,S5,theta,9.097927223848213e-11,10.75,Pz
4.0,S5-B6,0.0,P9,pre,S5,theta,1.534645682977431e-10,10.75,Pz
4.0,S5-B6,0.0,P9,slice,S5,theta,4.570682897799537e-11,10.75,Pz
4.0,S5-B6,1.0,P9,post,S5,theta,5.416044523614957e-11,10.75,P3
4.0,S5-B6,1.0,P9,pre,S5,theta,1.0699075821041033e-10,10.75,P3
4.0,S5-B6,1.0,P9,slice,S5,theta,3.679994159252156e-11,10.75,P3
4.0,S5-B6,2.0,P9,post,S5,theta,6.598358992173408e-11,10.75,O1
4.0,S5-B6,2.0,P9,pre,S5,theta,4.7546304297115785e-11,10.75,O1
4.0,S5-B6,2.0,P9,slice,S5,theta,3.228330345085223e-11,10.75,O1
4.0,S5-B6,3.0,P9,post,S5,theta,1.0384269136093572e-10,10.75,Oz
4.0,S5-B6,3.0,P9,pre,S5,theta,5.395586138725512e-11,10.75,Oz
4.0,S5-B6,3.0,P9,slice,S5,theta,3.681876040931595e-11,10.75,Oz
4.0,S5-B6,4.0,P9,post,S5,theta,1.4922054901379337e-10,10.75,O2
4.0,S5-B6,4.0,P9,pre,S5,theta,9.036229133934969e-11,10.75,O2
4.0,S5-B6,4.0,P9,slice,S5,theta,4.572545867936209e-11,10.75,O2
4.0,S5-B6,5.0,P9,post,S5,theta,1.9380729587978164e-10,10.75,P4
4.0,S5-B6,5.0,P9,pre,S5,theta,1.5044918835755733e-10,10.75,P4
4.0,S5-B6,5.0,P9,slice,S5,theta,5.868342151537827e-11,10.75,P4
5.0,S5-B6,0.0,P9,post,S5,theta,1.34477962301069e-10,10.75,Pz
5.0,S5-B6,0.0,P9,pre,S5,theta,6.50085412695209e-11,10.75,Pz
5.0,S5-B6,0.0,P9,slice,S5,theta,4.5485363688389006e-11,10.75,Pz
5.0,S5-B6,1.0,P9,post,S5,theta,8.215845405126603e-11,10.75,P3
5.0,S5-B6,1.0,P9,pre,S5,theta,3.9940483943793466e-11,10.75,P3
5.0,S5-B6,1.0,P9,slice,S5,theta,3.637796813038733e-11,10.75,P3
